id;title;description;image;keywords;synops_small;synops_med;synops_long;category;channel;language;release_date;duration_sec;topic;Start;End;Integers Missing
10;Wayfaring Stranger with Phil Cunningham;Phil Cunningham ends his journey at the Grand Ol' Opry and the Country Music Hall of Fame.;https://ichef.bbci.co.uk/images/ic/{recipe}/p04zmmzm.jpg;BBC, iPlayer, TV, Wayfaring Stranger with Phil Cunningham, Series 1: Episode 3;Phil Cunningham ends his journey at the Grand Ol' Opry and the Country Music Hall of Fame.;Phil Cunningham explores the musical connections between Scotland, Ulster and America. In the final programme his journey takes him to the Grand Ol' Opry.;Music and history combine as renowned Scottish performer Phil Cunningham explores age-old musical connections between Scotland, Ulster and America. Featuring a wealth of music, sacred and secular, in this final programme in the series are country and bluegrass legends Rosanne Cash and Ricky Skaggs, as Phil's journey takes him to the Grand Ol' Opry and the Country Music Hall of Fame in Nashville, Tennessee.;Music;bbc_two_northern_ireland_digital;FALSE;04/20/2017;3514;music;10.0;11.0;0.0
11;Arctic Monkeys Live at the BBC;Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios.;https://ichef.bbci.co.uk/images/ic/{recipe}/p069cqfz.jpg;BBC, iPlayer, TV, Arctic Monkeys Live at the BBC;Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios.;Arctic Monkeys perform live for BBC Radio 1 at the Maida Vale studios, with tracks from their new album Tranquillity Base Hotel & Casino, and classics from their back catalogue.;Arctic Monkeys perform live for BBC Radio 1 at the legendary Maida Vale studios, with tracks from their new album Tranquillity Base Hotel & Casino, and classics from their back catalogue of hits.;Music;bbc_two;FALSE;06/08/2018;1875;music;11.0;12.0;0.0
12;Team GB Homecoming Concert by the National Lottery;An incredible night of music and entertainment to welcome home the stars of Team GB.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09rtgch.jpg;BBC, iPlayer, TV, Team GB Homecoming Concert by the National Lottery;An incredible night of music and entertainment to welcome home the stars of Team GB.;Greg James and Clara Amfo host an incredible night of music and entertainment to welcome home the stars of Team GB. Acts include Rag’n'Bone Man, Anne-Marie, Yungblud, Laura Mvula and Nile Rodgers.;Greg James and Clara Amfo host an incredible night of music and entertainment to welcome home the stars of Team GB. The epic show features a stellar line-up with the very best British artists, including Rag’n'Bone Man, Anne-Marie, Bastille, Yungblud, Laura Mvula and Brit Rising Star artist Griff. There is also a very special performance from Nile Rodgers and unique collaborations involving English National Ballet and Chickenshed theatre group. With a live audience at the SSE Arena, Wembley, special guests and an opportunity to see and hear from Team GB directly, this is set to be a night to remember for our brilliant Olympians.;Entertainment;bbc_one;Contains flashing images.;08/15/2021;5340;music;12.0;13.0;0.0
13;St George's Day at the BBC;BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09dnl2c.jpg;BBC, iPlayer, TV, St Georges Day at the BBC;BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day.;BBC Four takes an eclectic trip through the musical archives to celebrate St George's Day, including performances by Elton John, Maddy Prior, Joe Strummer, The Spice Girls and Echo & The Bunnymen.;To mark St George’s Day, join BBC Four for a trip through the archives and a selection of songs celebrating English history, landmarks and places. This eclectic mix features a huge array of musical styles and tastes, ranging from Elton John to Maddy Prior and Joe Strummer, as well as one of English football’s oddest cheerleading combinations in The Spice Girls and Echo & The Bunnymen.;Music;bbc_four;FALSE;04/23/2021;3532;music;13.0;14.0;0.0
14;BBC Arts NI presents;Gemma Bradley hosts outstanding live performances from some remarkable homegrown talent.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09c4ftf.jpg;BBC, iPlayer, TV, BBC Arts NI presents, Sounds New Extra;Gemma Bradley hosts outstanding live performances from some remarkable homegrown talent.;Gemma Bradley hosts outstanding live performances from emerging homegrown talent. With Amy Montgomery, Joshua Burnside, JyellowL, Lilla Vargen, The Florentinas and Dark Tropics.;Gemma Bradley hosts outstanding live performances from emerging homegrown talent. With Amy Montgomery, Joshua Burnside, JyellowL, Lilla Vargen, The Florentinas and Dark Tropics.;Music;bbc_two_northern_ireland_digital;FALSE;04/01/2021;1702;music;14.0;15.0;0.0
15;Freddie Mercury: The Final Act;The story of Freddie Mercury’s final years and the tribute concert staged in his memory.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b4j38t.jpg;BBC, iPlayer, TV, Freddie Mercury: The Final Act;The story of Freddie Mercury’s final years and the tribute concert staged in his memory.;The extraordinary story of Freddie Mercury’s battle with Aids and the groundbreaking tribute concert Queen staged in his memory after he died.;The story of the extraordinary final chapter of Freddie Mercury’s life and how, after his death from Aids, Queen staged one of the biggest concerts in history, the Freddie Mercury Tribute Concert at Wembley Stadium, to celebrate his life and challenge the prejudices around HIV/Aids.   The film hears from those who performed at the epic gig, including Gary Cherone (Extreme), Roger Daltrey (The Who), Joe Elliott (Def Leppard), Lisa Stansfield and Paul Young, as well as the concert’s promoter, Harvey Goldsmith.   For the first time, Freddie's story is told alongside the experiences of those who tested positive for HIV and lost loved ones during the same period. Medical practitioners, survivors and human rights campaigners, including Peter Tatchell, recount the intensity of living through the Aids pandemic and the moral panic it brought about.;Music;bbc_two;Contains some strong language.;11/27/2021;5374;music;15.0;16.0;0.0
16;Country Christmas;Country Christmas brings the joy and festivites of the holidays to you.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bc5tzy.jpg;BBC, iPlayer, TV, Country Christmas, 2021;Country Christmas brings the joy and festivites of the holidays to you.;Country Christmas brings the joy and festivities of the holidays to you in this Christmas special. Join first-time hosts Gabby Barrett and Carly Pearce.;Country Christmas brings the joy and festivities of the holidays to you in this Christmas special. Join first-time hosts Gabby Barrett and Carly Pearce as they get the holiday festivities started on CMA Country Christmas. Sing along to Christmas classics performed by Jimmie Allen with Louis York and The Shindellas, Gabby Barrett, Breland, Brett Eldredge, Lady A, Carly Pearce, Pistol Annies, Carrie Underwood and Lainey Wilson.;Music;bbc_four;FALSE;12/24/2021;2383;music;16.0;17.0;0.0
17;Radio 1's Piano Sessions;Jordan performs 'Big Bad Mood' and covers Better Days by NEIKED, Mae Muller & Polo G.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bpw4dn.jpg;BBC, iPlayer, TV, Radio 1s Piano Sessions, Jordan Stephens;Jordan performs 'Big Bad Mood' and covers Better Days by NEIKED, Mae Muller & Polo G.;Jordan performs his own track 'Big Bad Mood' ft Yiigaa as well as a cover of Better Days by NEIKED, Mae Muller & Polo G.;Jordan performs his own track 'Big Bad Mood' ft Yiigaa as well as a cover of Better Days by NEIKED, Mae Muller & Polo G.;Music;bbc_radio_one;FALSE;02/20/2022;451;music;17.0;18.0;0.0
18;Cuirm @ Celtic;Mischa MacPherson presents a second programme looking back at Celtic Connections 2022.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bm8c6d.jpg;BBC, iPlayer, TV, Cuirm @ Celtic, 2021/22: Episode 2;Mischa MacPherson presents a second programme looking back at Celtic Connections 2022.;Mischa MacPherson looks back at Celtic Connections 2022 in this compilation programme, featuring some of the best musicians and concerts from the festival.;Prògram roghainneach bho Celtic Connections 2022. Le Mischa Nic a’ Phearsain. A compilation programme from Celtic Connections 2022. Presented by Mischa MacPherson.  Mischa Nic a’ Phearsain leis an dàrna program a tha a’ toirt sùil air ais air Celtic Connections 2022. Anns a' phrògram seo, cuid den luchd-ciùil as fheàrr bhon fhèis, nam measg Heal & Harrow, agus taisbeanadh de na h-òrain aig Nanci Griffiths. Mischa MacPherson presents a second programme looking back at Celtic Connections 2022. In this compilation show are some of the best musicians from the festival, including Jack Badcock, Heal & Harrow, and an all-star band with songs by Nanci Griffiths.;Music;bbc_alba;FALSE;02/05/2022;3570;music;18.0;19.0;0.0
19;Idris Elba Meets Paul McCartney;In a world exclusive, Idris Elba interviews Paul McCartney about his life and career.;https://ichef.bbci.co.uk/images/ic/{recipe}/p091r93d.jpg;BBC, iPlayer, TV, Idris Elba Meets Paul McCartney;In a world exclusive, Idris Elba interviews Paul McCartney about his life and career.;In a world exclusive, Idris Elba interviews Paul McCartney about his life and career.;In a world exclusive, two of the biggest names in entertainment come together for a very special one-off show: music legend Paul McCartney is interviewed by Golden Globe-winning actor Idris Elba.   Recorded in London in December 2020, Idris talks to Paul about his peerless career as the most successful musician and composer in pop music history. Paul talks about his writing process, which has produced some of the best-loved and most performed songs ever. As a producer and musician himself, Idris is fascinated by the craft and joy that drives Paul’s remarkable and prolific output and wants to find out what inspires Paul to continue to innovate creatively, as he releases his 26th post-Beatles album, McCartney III, which features Paul playing every instrument and writing and recording every song.;Music;bbc_one;FALSE;12/19/2020;3235;music;19.0;20.0;0.0
20;Country Music Awards;BBC Radio 2’s Bob Harris introduces highlights from the 55th annual Country Music Awards.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b3m07m.jpg;BBC, iPlayer, TV, Country Music Awards, 2021;BBC Radio 2’s Bob Harris introduces highlights from the 55th annual Country Music Awards.;BBC Radio 2’s Bob Harris introduces highlights from the 55th annual Country Music Awards. The event took place on 10 November at the Bridgestone Arena in Nashville, Tennessee.;BBC Radio 2’s Bob Harris introduces highlights from the 55th annual Country Music Awards. The event took place on 10 November at the Bridgestone Arena in Nashville, Tennessee. It was hosted by American Country Music singer, Luke Bryan and featured performances from the biggest stars of country music, including Jason Aldean and Carrie Underwood, Jimmie Allen, Brothers Osborne, Eric Church, Luke Combs, Dan + Shay, Mickey Guyton featuring Brittney Spencer and Madeline Edwards, Miranda Lambert, Old Dominion, Carly Pearce and Ashley McBryde, Blake Shelton, Chris Stapleton, Chris Young and Kane Brown.;Music;bbc_four;FALSE;11/19/2021;3580;music;20.0;21.0;0.0
21;The Story Of...;A look at Gloria Gaynor's disco hit and soundtrack to breakups everywhere, I Will Survive.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07243d1.jpg;BBC, iPlayer, TV, The Story Of..., Series 1: 2. Gloria Gaynors I Will Survive;A look at Gloria Gaynor's disco hit and soundtrack to breakups everywhere, I Will Survive.;Documentary series uncovering the stories behind famous songs. An in-depth look at Gloria Gaynor's disco hit and, for many, the ultimate soundtrack to breakups, I Will Survive.;Documentary series uncovering the stories behind famous songs. An in-depth look at Gloria Gaynor's disco hit and, for many, the ultimate soundtrack to breakups, I Will Survive. Participants include Gloria Gaynor herself and the song's co-composer and lyricist, Dino Fekaris.;Documentary;bbc_four;Contains some strong language.;12/18/2005;3344;music;21.0;22.0;0.0
22;Idiot Prayer - Nick Cave Alone at Alexandra Palace;Nick Cave performs a special stripped-back set on the piano at London's Alexandra Palace.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b617w3.jpg;BBC, iPlayer, TV, Idiot Prayer - Nick Cave Alone at Alexandra Palace;Nick Cave performs a special stripped-back set on the piano at London's Alexandra Palace.;Nick Cave performs a special stripped-back set on the piano, with songs chosen from early Bad Seeds and Grinderman tracks to 2019 album Ghosteen, at London's Alexandra Palace.;Nick Cave plays songs at the piano from across his repertoire in a rarely seen stripped-back set, from early Bad Seeds and Grinderman right through to the Nick Cave and the Bad Seeds 2019 album, Ghosteen. The performance, which was filmed at London’s Alexandra Palace, features tracks including Into My Arms, The Mercy Seat, Higgs Boson Blues and Girl in Amber.  Recorded in June 2020, as the UK slowly emerged from lockdown, and conceived as a reaction to the confinement and isolation of the preceding months, Idiot Prayer is a souvenir from a strange and precarious moment in history.;Music;bbc_four;Contains some strong language.;12/10/2021;5201;music;22.0;23.0;0.0
23;A Night of Wonder;A 1995 studio concert featuring one of the enduring stars of popular music, Stevie Wonder.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bpfkkz.jpg;BBC, iPlayer, TV, A Night of Wonder;A 1995 studio concert featuring one of the enduring stars of popular music, Stevie Wonder.;A studio concert featuring one of the enduring stars of popular music, Stevie Wonder. The show, filmed in 1995, features many of his greatest hits.;A studio concert featuring one of the enduring stars of popular music, Stevie Wonder. The show, filmed in 1995, features many of his greatest hits.;Music;bbc_two;FALSE;08/12/1995;3837;music;23.0;24.0;0.0
24;Peat & Diesel;Peat & Diesel aig na Barrowlands ann an Glaschu. Peat & Diesel at Barrowlands in Glasgow.;https://ichef.bbci.co.uk/images/ic/{recipe}/p086yytl.jpg;BBC, iPlayer, TV, Peat & Diesel, Series 1: 1. From the Barrow to the Barrowlands;Peat & Diesel aig na Barrowlands ann an Glaschu. Peat & Diesel at Barrowlands in Glasgow.;Peat & Diesel a’ dèanamh na cuirme as motha aca fhathast aig na Barrowlands ann an Glaschu. Peat & Diesel play one of their biggest gigs yet at the iconic Glasgow Barrowlands.;Tha rud ris an cainnte ‘Peatlemania’ air grèim fhaighinn air an dùthaich. Tha an t-iasgair, Calum ‘Boydie’ Macleòid, an neach-dealain, Innes Scott, agus an dràibhear, Uilleam ‘Uilly’ Macleòid  còmhla aithnichte mar Peat & Diesel, air buaidh mhòr a thoirt air saoghal ceòl Gàidhealach, is iad a’ glacadh aire na dùthcha leis a’ cheòl tharraingeach aca agus an  sgeulachdan sònraichte mu bheatha an eilein.  Dìreach bliadhna an dèidh a’ chiad chuirm aig a’ chòmhlan ann an taigh-seinnse aithnichte ann an Leòdhas, reic Peat & Diesel na tiogaidean gu lèir airson cuirm ann an ionad-cluiche ainmeil nam Barrowlands ann an Glaschu. Thig cuide ris a’ chòmhlan airson a’ chlàradh ciùil seo den chuirm as motha a th’ air a bhith aca fhathast, a tha gan sealltainn a’ cluich òrain ainmeil bho na clàran aca ‘Uptown Fank’ agus ‘Light my Byre’, a’ gabhail a-steach an t-òran sònraiche a thug ainm dhaibh mu na h-Eileanan Siar.   A phenomenon known as ‘Peatlemania’ has recently taken hold of the nation. Fisherman Calum ‘Boydie’ Macleod, Electrician Innes Scott, and delivery driver Uilleam ‘Uilly’ Macleod - together as Peat & Diesel - have taken the Highland music scene by storm, capturing the country’s imagination through their infectious music and unique tales of island life.    Just one year after their first ever gig in a well known Lewis pub, Peat & Diesel sold out the iconic Glasgow Barrowlands. Follow the band through this musical documentation of one of their biggest gigs yet, which sees them play classics from their albums Uptown Fank and Light my Byre, including the Western Isles anthem that catapulted them to fame.   In Gaelic with English subtitles;Music;bbc_alba;FALSE;04/03/2020;3480;music;24.0;25.0;0.0
25;Barry White in Concert 1975;Barry White live in concert at the Royal Albert Hall in 1975.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bm6ssh.jpg;BBC, iPlayer, TV, Barry White in Concert 1975;Barry White live in concert at the Royal Albert Hall in 1975.;Barry White live in concert at the Royal Albert Hall in 1975.;Barry White live in concert at the Royal Albert Hall in 1975.;Music;bbc_four;FALSE;01/04/2004;3000;music;25.0;26.0;0.0
26;The World’s Most Extreme Festivals;Chris Stark makes an epic journey to beautiful Træna – the most remote festival on Earth.;https://ichef.bbci.co.uk/images/ic/{recipe}/p05j18c2.jpg;BBC, iPlayer, TV, The World’s Most Extreme Festivals, The Festival That Never Sleeps;Chris Stark makes an epic journey to beautiful Træna – the most remote festival on Earth.;After sailing to the edge of the Arctic Circle, Chris Stark enjoys the endless sunlight of Træna. Beautiful, breathtaking and bonkers – this festival is a Scandi party paradise.;For his final Extreme Festivals adventure of the year, Chris Stark travels to the edge of the Arctic Circle to experience the Norwegian wonder that is Træna.  Only accessible by boat, the remote islands of Træna sees a small fishing community of hundreds become thousands when it transforms every summer into a Scandi party paradise with endless sunlight.  Chris completes his epic journey on a sailing boat racing to the festival, before meeting his fierce festival friends Ragna and Mira (AKA bad girl Norweigian rap duo KUUK).  Popping his Pride parade cherry and invited to perform with a giraffe on the main stage, will beautiful Træna blow his mind?;Entertainment;bbc_radio_one;Contains strong language.;10/06/2017;1398;music;26.0;27.0;0.0
27;Lionel Richie at the BBC;A selection of Lionel Richie's greatest moments from the BBC archives.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bmq8cj.jpg;BBC, iPlayer, TV, Lionel Richie at the BBC;A selection of Lionel Richie's greatest moments from the BBC archives.;A selection of Lionel Richie's greatest moments from the BBC archives, from his first TOTP appearance with The Commodores in 1979 to his 2009 concert at the Maida Vale studios.;A selection of Lionel Richie's greatest moments from the BBC archives, from his first Top of the Pops appearance with The Commodores in 1979 to highlights from his 2009 concert at the BBC's Maida Vale studios.;Music;bbc_four;FALSE;12/02/2011;3542;music;27.0;28.0;0.0
