;index;title;subtitle;description;image;keywords;syno_s;syno_m;syno_l;category;channel;language;release_date;duration_min;topic;image_l;image_xl;cleaned_syno_l;k_means
495;495;Ivanhoe;None;Ivanhoe fights for the honour of the kidnapped King Richard.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bp2f9f.jpg;BBC, iPlayer, TV, Ivanhoe;Ivanhoe fights for the honour of the kidnapped King Richard.;Swashbuckling spectacular based on the novel by Sir Walter Scott in which Ivanhoe fights for the honour of the kidnapped King Richard.;Swashbuckling spectacular based on the novel by Sir Walter Scott. Ivanhoe the knight fights for the honour of King Richard, kidnapped in Austria, and saves a wealthy merchant who agrees to help raise the Lionheart's ransom.;Film - Adventure;BBC TWO;False;1952;102;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p0bp2f9f.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0bp2f9f.jpg;swashbuckling spectacular based novel sir walter scott ivanhoe knight fight honour king richard kidnapped austria save wealthy merchant agrees help raise lionhearts ransom;11
496;496;Fort Apache;None;A commanding officer, bitter after his demotion, takes charge at a remote fort in Arizona.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08y06l5.jpg;BBC, iPlayer, TV, Fort Apache;A commanding officer, bitter after his demotion, takes charge at a remote fort in Arizona.;The first of John Ford's cavalry trilogy, in which a demoted commanding officer takes his resentment out on the men of Fort Apache, a remote outpost in the Arizona desert.;"The first of John Ford's cavalry trilogy, in which a commanding officer, bitter at his demotion after the Civil War, takes his resentment out on the men of Fort Apache, a remote outpost in the Arizona desert. 

He is determined to tighten up discipline but eventually shows his ignorance of American Indian behaviour when he leads his troops into a deadly confrontation.";Film - Western;BBC TWO;False;1948;122;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p08y06l5.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08y06l5.jpg;first john ford cavalry trilogy commanding officer bitter demotion civil war take resentment men fort apache remote outpost arizona desert determined tighten discipline eventually show ignorance american indian behaviour lead troop deadly confrontation;4
497;497;The Light between Oceans;None;A rowboat brings a terrible dilemma into the lives of war veteran Tom and his wife Isabel.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07jj1gy.jpg;BBC, iPlayer, TV, The Light between Oceans;A rowboat brings a terrible dilemma into the lives of war veteran Tom and his wife Isabel.;War veteran Tom is surprised to be romanced by young local Isabel. Their isolated relationship is tested by tragedy, until a drifting rowboat brings hope into their lives – and a terrible dilemma.;"In December 1918, traumatized ex-soldier Tom Sherbourne is hired as keeper to work alone for six months at a lighthouse on Janus Rock island, off Australia. On the mainland he meets joyful local girl Isabel Graysmark and they fall in love. After they marry Isabel moves to Janus Rock with Tom, now permanent in the job.

As time passes Isabel has two miscarriages. Just after her second loss Tom finds a rowboat drifted to shore with a dead man and a live baby girl aboard. Isabel persuades him to keep the baby as if she were their child, and he reluctantly agrees. Just before the baby’s baptism in town Tom sees local widow Hannah Roennfeldt praying in the churchyard and realises she is the child’s true mother. He writes her an anonymous note saying the missing girl is safe. A few years later when Hannah, daughter of local landowner Septimus Potts, is sent further proof that her child was found she has the influence to make sure there is a fuller investigation – and painful revelations result.";Film - Romance;BBC TWO;Contains some sexual content.;2016;124;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p07jj1gy.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p07jj1gy.jpg;december 1918 traumatized exsoldier tom sherbourne hired keeper work alone six month lighthouse janus rock island australia mainland meet joyful local girl isabel graysmark fall love marry isabel move janus rock tom permanent job time pass isabel two miscarriage second loss tom find rowboat drifted shore dead man live baby girl aboard isabel persuades keep baby child reluctantly agrees baby ’ baptism town tom see local widow hannah roennfeldt praying churchyard realises child ’ true mother writes anonymous note saying missing girl safe year later hannah daughter local landowner septimus potts sent proof child found influence make sure fuller investigation – painful revelation result;16
498;498;Bachelor Knight;None;A man agrees to romance a woman who has a crush on him until her infatuation wears off.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08y3mwn.jpg;BBC, iPlayer, TV, Bachelor Knight;A man agrees to romance a woman who has a crush on him until her infatuation wears off.;Comedy about a teacher (Cary Grant) whose playboy antics are curbed by a judge who insists that he romance a girl (Shirley Temple), until her crush on him wears off.;Comedy about a teacher (Cary Grant) whose playboy antics are curbed by a judge who insists that he romance a girl (Shirley Temple), until her crush on him wears off.;Film - Romance;BBC TWO;False;1947;91;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p08y3mwn.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08y3mwn.jpg;comedy teacher cary grant whose playboy antic curbed judge insists romance girl shirley temple crush wear;3
499;499;The Young Victoria;None;After a controlled childhood, Victoria (Emily Blunt) faces a fight to become queen.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07jxr0h.jpg;BBC, iPlayer, TV, The Young Victoria;After a controlled childhood, Victoria (Emily Blunt) faces a fight to become queen.;Period drama starring Emily Blunt. After a confined childhood, Princess Victoria faces a fight to become queen, then is caught between the schemes of men out to steer her rule.;Period drama from Downton Abbey writer Julian Fellowes. After a confined and controlled childhood, Princess Victoria faces a fight just to become queen, then is caught between the schemes of more men out to steer her rule - the Belgian king has primed Prince Albert to woo her, while politician Lord Melbourne seeks to charm her.;Film - Period;BBC TWO;False;2009;96;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p07jxr0h.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p07jxr0h.jpg;period drama downton abbey writer julian fellowes confined controlled childhood princess victoria face fight become queen caught scheme men steer rule belgian king primed prince albert woo politician lord melbourne seek charm;0
500;500;Lucky Jim;None;A junior professor (Ian Carmichael) tries to impress the new university chancellor.;https://ichef.bbci.co.uk/images/ic/{recipe}/p091vq2t.jpg;BBC, iPlayer, TV, Lucky Jim;A junior professor (Ian Carmichael) tries to impress the new university chancellor.;Comedy about a well-intentioned junior professor who hopes to impress the new university chancellor, but only succeeds in messing up everything he touches.;"Comedy about a well-intentioned junior history professor in an undistinguished university. Hoping to impress the new chancellor, he succeeds only in messing up everything he touches. 

Based on the satirical novel by Kingsley Amis.";Film - Comedy;BBC TWO;False;1957;91;films, comedy;https://ichef.bbci.co.uk/images/ic/352x198/p091vq2t.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p091vq2t.jpg;comedy wellintentioned junior history professor undistinguished university hoping impress new chancellor succeeds messing everything touch based satirical novel kingsley amis;3
501;501;Rancho Notorious;None;Unusual western about a young man hunting for the brutal killers of his fiancee.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0bhqj0m.jpg;BBC, iPlayer, TV, Rancho Notorious;Unusual western about a young man hunting for the brutal killers of his fiancee.;Unusual western about a young man hunting for the brutal killers of his fiancee. A rare foray into the genre for director Fritz Lang.;Unusual western about a young man hunting for the brutal killers of his fiancee. The only clue he has is the mysterious word 'Chuck-a-Luck' whispered by a dying victim. A rare foray into the genre for director Fritz Lang.;Film - Western;BBC TWO;False;1952;85;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p0bhqj0m.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0bhqj0m.jpg;unusual western young man hunting brutal killer fiancee clue mysterious word chuckaluck whispered dying victim rare foray genre director fritz lang;11
502;502;Killing Escobar;None;The true story of a Scottish mercenary hired to kill Colombian drug lord Pablo Escobar.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09fxtrw.jpg;BBC, iPlayer, TV, Killing Escobar;The true story of a Scottish mercenary hired to kill Colombian drug lord Pablo Escobar.;Documentary telling the true story of the Scottish mercenary hired to kill the world’s most notorious drug lord, Pablo Escobar. With exclusive interviews, archive footage and drama reconstruction.;"Documentary telling the incredible true story of Scottish mercenary Peter McAleese, who was hired to kill Colombian drug lord Pablo Escobar in 1989. With unprecedented access to Peter and other members of his team, this is the first full account of that fateful mission and the dark consequences for those involved.

With full access to McAleese’s personal archive, as well as never-before-seen amateur footage of the operation, Killing Escobar weaves this material alongside dramatic reconstruction and interviews from McAleese and his fellow mercenaries. We also hear from one of Pablo Escobar’s bodyguards, members of America’s DEA and the security chief of the Colombian drug cartel that wanted Escobar eliminated.

The film also provides a deeply personal character study of Peter McAleese, a man trained to fight and kill, and the cost this has had on himself and his family. McAleese actively sought out war and conflict but admits that he, and those close to him, paid a costly price for his desire to seek adventure.

McAleese’s youth in postwar working class Glasgow was marked by poverty and violence and he quickly learned how to fight. Leaving Glasgow for the Parachute Regiment in 1960, Peter learned to channel his aggression into soldiering, seeing action in the SAS before fighting as a mercenary in Africa throughout the 10s and 80s.

In 1989, McAleese and his friend Dave Tomkins were hired by a Colombian drug cartel to undertake a mission to kill the world’s biggest cocaine dealer, Pablo Escobar. In Colombia, he gathered a select team of ex-Special Forces operatives and began training for a lightning raid on Escobar’s Hacienda. After 11 weeks of intense preparation, the men launched the operation which ultimately led to disaster and would have a devastating effect on McAleese and others.";Film;BBC SCOTLAND;Contains strong language and some upsetting scenes.;2021;89;films, documentaries;https://ichef.bbci.co.uk/images/ic/352x198/p09fxtrw.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09fxtrw.jpg;documentary telling incredible true story scottish mercenary peter mcaleese hired kill colombian drug lord pablo escobar 1989 unprecedented access peter member team first full account fateful mission dark consequence involved full access mcaleese ’ personal archive well neverbeforeseen amateur footage operation killing escobar weave material alongside dramatic reconstruction interview mcaleese fellow mercenary also hear one pablo escobar ’ bodyguard member america ’ dea security chief colombian drug cartel wanted escobar eliminated film also provides deeply personal character study peter mcaleese man trained fight kill cost family mcaleese actively sought war conflict admits close paid costly price desire seek adventure mcaleese ’ youth postwar working class glasgow marked poverty violence quickly learned fight leaving glasgow parachute regiment 1960 peter learned channel aggression soldiering seeing action sa fighting mercenary africa throughout 10 80 1989 mcaleese friend dave tomkins hired colombian drug cartel undertake mission kill world ’ biggest cocaine dealer pablo escobar colombia gathered select team exspecial force operative began training lightning raid escobar ’ hacienda 11 week intense preparation men launched operation ultimately led disaster would devastating effect mcaleese others;1
503;503;The Man in the White Suit;None;Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09pcq4k.jpg;BBC, iPlayer, TV, The Man in the White Suit;Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre.;Biting Ealing satire about a scientist (Alec Guinness) who invents an indestructible fibre but finds that everyone wants to destroy his formula.;Biting Ealing satire about an eccentric research scientist working in a menial job in a textile factory, who invents a fabric that never gets dirty and never wears out. When the tycoons of the clothes industry discover his secret, they ruthlessly set out to destroy the formula, and the scientist is forced to go on the run, wearing a suit made from the miracle yarn, with just about everyone in pursuit.;Film - Comedy;BBC TWO;False;1951;82;films, comedy;https://ichef.bbci.co.uk/images/ic/352x198/p09pcq4k.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09pcq4k.jpg;biting ealing satire eccentric research scientist working menial job textile factory invents fabric never get dirty never wear tycoon clothes industry discover secret ruthlessly set destroy formula scientist forced go run wearing suit made miracle yarn everyone pursuit;13
504;504;Vivacious Lady;None;A young professor (James Stewart) impulsively marries a singer and has to face his family.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08dsx1d.jpg;BBC, iPlayer, TV, Vivacious Lady;A young professor (James Stewart) impulsively marries a singer and has to face his family.;Comedy. A young professor impulsively marries a nightclub singer and has to break the news to his conservative parents.;Entertaining comedy in which a young professor impulsively marries a wild New York nightclub singer but begins to regret the decision when he returns to his small-town home to face another kind of music - the reaction of his conservative parents.;Film - Comedy;BBC TWO;False;1938;86;films, comedy, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p08dsx1d.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08dsx1d.jpg;entertaining comedy young professor impulsively marries wild new york nightclub singer begin regret decision return smalltown home face another kind music reaction conservative parent;3
505;505;Monsters vs Aliens: Night of the Living Carrots;None;After a mutant alien pumpkin explodes on a carrot garden, zombie carrots attack the area.;https://ichef.bbci.co.uk/images/ic/{recipe}/p0b1jxp4.jpg;BBC, iPlayer, TV, Monsters vs Aliens: Night of the Living Carrots;After a mutant alien pumpkin explodes on a carrot garden, zombie carrots attack the area.;Animation. After a mutant alien pumpkin explodes on the Murphys' carrot garden, zombie carrots start attacking the area, and it's up to the monsters to save the night again.;Animated Halloween Monsters v Aliens special. After a mutant alien pumpkin explodes on the Murphys' carrot garden, zombie carrots start attacking the immediate area, and it's up to the monsters to save the night again.;Film - Family;CBBC;False;2011;12;films, cbbc;https://ichef.bbci.co.uk/images/ic/352x198/p0b1jxp4.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0b1jxp4.jpg;animated halloween monster v alien special mutant alien pumpkin explodes murphy carrot garden zombie carrot start attacking immediate area monster save night;13
506;506;Bill;None;Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07j6ws2.jpg;BBC, iPlayer, TV, Bill;Bill Shakespeare (Matthew Baynton) leaves Stratford to follow his dream.;Family comedy from the performers of Horrible Histories. Young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London.;1593. While King Philip of Spain plots to kill Queen Elizabeth of England, young Bill Shakespeare leaves Stratford to follow his latest dream, to be a playwright in London - despite the theatres being closed due to plague. Luckily the Queen desires a new play - unluckily she chooses creepy Lord Crawley to write it.;Film - Family;BBC ONE;False;2015;87;films;https://ichef.bbci.co.uk/images/ic/352x198/p07j6ws2.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p07j6ws2.jpg;1593 king philip spain plot kill queen elizabeth england young bill shakespeare leaf stratford follow latest dream playwright london despite theatre closed due plague luckily queen desire new play unluckily chooses creepy lord crawley write;18
507;507;Emma;None;Gwyneth Paltrow stars as Emma Woodhouse who considers herself an adept matchmaker.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08yq346.jpg;BBC, iPlayer, TV, Emma;Gwyneth Paltrow stars as Emma Woodhouse who considers herself an adept matchmaker.;Adaptation of the Jane Austen classic about a privileged young woman's misguided attempts at matchmaking.;"Adaptation of the Jane Austen classic about a privileged young woman's misguided attempts at matchmaking.

Wealthy and charming Emma Woodhouse is convinced she knows what is best for everyone's love lives. Having never been in love herself, she is naive about matters of the heart and is gently guided by the patient Mr Knightley, a family friend whom she regards as a brother. But when Emma falls for a newcomer to the village, the eligible bachelor Mr Churchill, she fails to recognise that her own true love may have been right before her eyes all along.";Film - Period;BBC TWO;False;1996;114;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p08yq346.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08yq346.jpg;adaptation jane austen classic privileged young woman misguided attempt matchmaking wealthy charming emma woodhouse convinced know best everyones love life never love naive matter heart gently guided patient mr knightley family friend regard brother emma fall newcomer village eligible bachelor mr churchill fails recognise true love may right eye along;16
508;508;I Am Greta;None;Intimate documentary about a young girl who has become the voice of a generation.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09232m9.jpg;BBC, iPlayer, TV, I Am Greta;Intimate documentary about a young girl who has become the voice of a generation.;Intimate documentary about a young girl who has become the voice of a generation. The story of teenage climate activist Greta Thunberg is told through compelling, never-before-seen footage.;"The story of teenage climate activist Greta Thunberg is told through compelling, never-before-seen footage in this intimate documentary about a young girl who has become the voice of a generation. 

Starting with her one-person school strike for climate justice outside the Swedish Parliament, the film follows Greta - a shy student with Asperger’s - as she rises to prominence, and her galvanising global impact as she sparks school strikes around the world. 

The film culminates with her gruelling wind-powered voyage across the Atlantic Ocean to speak at the UN Climate Action Summit in New York City. En route, in an intensely emotional moment, Greta reflects on the enormous toll her mission has exacted.";Documentary Film;BBC THREE;Contains some strong language.;2021;90;films, documentaries;https://ichef.bbci.co.uk/images/ic/352x198/p09232m9.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09232m9.jpg;story teenage climate activist greta thunberg told compelling neverbeforeseen footage intimate documentary young girl become voice generation starting oneperson school strike climate justice outside swedish parliament film follows greta shy student asperger ’ rise prominence galvanising global impact spark school strike around world film culminates gruelling windpowered voyage across atlantic ocean speak un climate action summit new york city en route intensely emotional moment greta reflects enormous toll mission exacted;8
509;509;Destroyer;None;LAPD detective Erin Bell goes on a last-ditch personal mission. Starring Nicole Kidman.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09rr442.jpg;BBC, iPlayer, TV, Destroyer;LAPD detective Erin Bell goes on a last-ditch personal mission. Starring Nicole Kidman.;LAPD detective Erin Bell embarks on a last-ditch personal mission to track down a charismatic criminal, whom she went undercover to expose years earlier. Starring Nicole Kidman.;Damaged LAPD detective Erin Bell embarks on a last-ditch personal mission to track down charismatic criminal Silas, whom she went undercover to expose years earlier. That operation imploded, and Bell’s personal failings could sabotage this new quest, as they have already destroyed her family life. Starring Nicole Kidman.;Film - Crime;BBC ONE;Contains very strong language, some sexual content, some violence and disturbing scenes.;2019;112;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p09rr442.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09rr442.jpg;damaged lapd detective erin bell embarks lastditch personal mission track charismatic criminal silas went undercover expose year earlier operation imploded bell ’ personal failing could sabotage new quest already destroyed family life starring nicole kidman;1
510;510;The Babadook;None;A child's fear of monsters worsens when a mysterious pop-up book appears on his bookshelf.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08trfq4.jpg;BBC, iPlayer, TV, The Babadook;A child's fear of monsters worsens when a mysterious pop-up book appears on his bookshelf.;Unsettling Australian horror tale. Widow Amelia’s worries about her highly strung young son’s behaviour worsen when a mysterious pop-up book inspires fresh fears.;"Single mother Amelia struggles to raise her demanding six-year-old son Samuel alongside working shifts in an old people’s home. The kid’s behavioural problems stem from a fear of lurking monsters, against which he prepares weapons, which does not go down well at his school. Bedtimes are difficult, and Samuel usually ends up sleeping in Amelia’s bed, with disturbed nights the result.

With his seventh birthday looming - also the anniversary of his father’s death - the discovery of a strange pop-up book titled Mister Babadook on his bookshelf unleashes a sinister presence in the house.";Film - Horror;BBC TWO;Contains some strong language and upsetting scenes.;2014;89;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p08trfq4.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08trfq4.jpg;single mother amelia struggle raise demanding sixyearold son samuel alongside working shift old people ’ home kid ’ behavioural problem stem fear lurking monster prepares weapon go well school bedtime difficult samuel usually end sleeping amelia ’ bed disturbed night result seventh birthday looming also anniversary father ’ death discovery strange popup book titled mister babadook bookshelf unleashes sinister presence house;16
511;511;Suspicion;None;Thriller. An heiress (Joan Fontaine) thinks her husband (Cary Grant) wants to kill her.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08dx6q5.jpg;BBC, iPlayer, TV, Suspicion;Thriller. An heiress (Joan Fontaine) thinks her husband (Cary Grant) wants to kill her.;Classic Alfred Hitchcock thriller about a timid heiress who becomes convinced that her husband is trying to kill her.;"Classic thriller in which a timid heiress becomes convinced that her husband is trying to kill her. 

After escaping from her oppressive parents, the woman meets and marries a fortune hunter. At first, her happiness prevents her from reflecting on his character, but when events take a sinister twist, she fears that his intentions are murderous. 

Directed by Alfred Hitchcock, from Frances Iles's novel. Joan Fontaine won an Oscar for her role.";Film - Thriller;BBC TWO;False;1941;95;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p08dx6q5.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08dx6q5.jpg;classic thriller timid heiress becomes convinced husband trying kill escaping oppressive parent woman meet marries fortune hunter first happiness prevents reflecting character event take sinister twist fear intention murderous directed alfred hitchcock france iless novel joan fontaine oscar role;7
512;512;Effie Gray;None;Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).;https://ichef.bbci.co.uk/images/ic/{recipe}/p0893ngv.jpg;BBC, iPlayer, TV, Effie Gray;Dakota Fanning stars as Effie Gray, who at 19 became the wife of John Ruskin (Greg Wise).;Drama based on a true story. When young Effie Gray becomes the wife of John Ruskin, it soon becomes apparent that Ruskin regards her as a muse rather than a wife.;"When young Effie Gray becomes the wife of John Ruskin, one of the most distinguished writers and critics of the day, who has known her since her childhood, it soon becomes apparent that Ruskin regards her as a muse rather than a wife, and the stifling atmosphere of their home and Ruskin's overbearing wealthy parents soon take a toll on Effie's health. 

A trip back to Scotland for Ruskin to have his portrait painted by his protege John Everett Millais increases the distance between husband and wife, but the sympathy shown by Millais begins to offer her a release.";Film - Biopic;BBC TWO;Contains adult themes.;2014;99;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p0893ngv.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p0893ngv.jpg;young effie gray becomes wife john ruskin one distinguished writer critic day known since childhood soon becomes apparent ruskin regard muse rather wife stifling atmosphere home ruskin overbearing wealthy parent soon take toll effies health trip back scotland ruskin portrait painted protege john everett millais increase distance husband wife sympathy shown millais begin offer release;11
513;513;Crossfire;None;A detective lays a trap for an anti-Semitic soldier who murdered a Jewish war veteran.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09xcltg.jpg;BBC, iPlayer, TV, Crossfire;A detective lays a trap for an anti-Semitic soldier who murdered a Jewish war veteran.;Stark, claustrophobic thriller about racial intolerance. A detective lays a trap for an anti-Semitic soldier who murdered a Jewish war veteran. Starring Robert Mitchum.;Stark, claustrophobic thriller about an anti-Semitic soldier who kills a Jewish war veteran, evading detection by dint of his loyal friends' protection. But a detective is determined that the crime will not go unsolved and sets about laying a trap for the murderer. Based on the novel 'The Brick Foxhole' by Richard Brooks.;Film - Thriller;BBC TWO;False;1947;82;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p09xcltg.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09xcltg.jpg;stark claustrophobic thriller antisemitic soldier kill jewish war veteran evading detection dint loyal friend protection detective determined crime go unsolved set laying trap murderer based novel brick foxhole richard brook;11
514;514;Wallace and Gromit: A Matter of Loaf and Death;None;Wallace and Gromit's business faces danger when a killer starts targeting local bakers.;https://ichef.bbci.co.uk/images/ic/{recipe}/p08q8m9k.jpg;BBC, iPlayer, TV, Wallace and Gromit: A Matter of Loaf and Death;Wallace and Gromit's business faces danger when a killer starts targeting local bakers.;Comic adventure starring the hapless inventor and his canine companion. Wallace and Gromit's new bakery business faces danger when the 'Cereal Killer' targets the town's bakers.;"Wallace and Gromit have opened a new bakery - Top Bun - and business is booming, not least because a deadly Cereal Killer has murdered all the other bakers in town. Gromit is worried that they may be the next victims, but Wallace does not care, as he has fallen head over heels in love with Piella Bakewell, former star of the Bake-O-Lite bread commercials. So Gromit is left to run things on his own, when he would much rather be getting better acquainted with Piella's lovely pet poodle Fluffles.

But then Gromit makes a shocking discovery which points to the killer's true identity. Can he save his master from becoming the next baker to be butchered? And does Fluffles know more than she is saying? It all adds up to a classic 'who-doughnut' mystery, as four-time Academy Award-winning director Nick Park creates a hilarious new masterpiece in the tradition of 'master of suspense' Alfred Hitchcock.

Featuring the voices of Peter Sallis (Wallace) and Sally Lindsay (Piella Bakewell).";Film - Family;CBBC;False;2008;29;films, cbbc;https://ichef.bbci.co.uk/images/ic/352x198/p08q8m9k.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p08q8m9k.jpg;wallace gromit opened new bakery top bun business booming least deadly cereal killer murdered baker town gromit worried may next victim wallace care fallen head heel love piella bakewell former star bakeolite bread commercial gromit left run thing would much rather getting better acquainted piellas lovely pet poodle fluffles gromit make shocking discovery point killer true identity save master becoming next baker butchered fluffles know saying add classic whodoughnut mystery fourtime academy awardwinning director nick park creates hilarious new masterpiece tradition master suspense alfred hitchcock featuring voice peter sallis wallace sally lindsay piella bakewell;5
515;515;Captain Fantastic;None;A father (Viggo Mortensen) raises his six kids, living off grid in the forest.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07jjcsc.jpg;BBC, iPlayer, TV, Captain Fantastic;A father (Viggo Mortensen) raises his six kids, living off grid in the forest.;A father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world.;Deep in the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, beginning a journey that challenges his idea of what it means to be a parent.;Comedy Drama;BBC TWO;Contains very strong language and some upsetting scenes.;2016;110;films, comedy, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p07jjcsc.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p07jjcsc.jpg;deep forest pacific northwest father devoted raising six kid rigorous physical intellectual education forced leave paradise enter world beginning journey challenge idea mean parent;11
516;516;Giant Little Ones;None;The lives of two teenagers are upended after an unexpected incident at a birthday party.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09rrybt.jpg;BBC, iPlayer, TV, Giant Little Ones;The lives of two teenagers are upended after an unexpected incident at a birthday party.;The lives of two teenage boys, best friends since childhood, are changed forever after an unexpected incident at a birthday party.;Teenage boys Franky and Ballas, best friends since childhood, are stars of the high school swim team, handsome and popular with the girls. After an unexpected incident at Franky's seventeenth birthday party, their lives are changed forever.;Film - Drama;BBC ONE;Contains very strong language, some sexual content and some violence.;2019;85;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p09rrybt.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09rrybt.jpg;teenage boy franky ballas best friend since childhood star high school swim team handsome popular girl unexpected incident frankys seventeenth birthday party life changed forever;16
517;517;Lara Croft: Tomb Raider;None;The heroine races against time to find a relic before it falls into the wrong hands.;https://ichef.bbci.co.uk/images/ic/{recipe}/p07j8bj8.jpg;BBC, iPlayer, TV, Lara Croft: Tomb Raider;The heroine races against time to find a relic before it falls into the wrong hands.;Action tale adapted from the popular video game in which the eponymous heroine (Angelina Jolie) races against time to find an ancient relic before it falls into the wrong hands.;Action tale adapted from the popular video game in which the eponymous heroine races against time to find an ancient relic before it falls into the wrong hands. Leaving behind her life of luxury, the highly trained adventurer travels to exotic and dangerous locales, where she battles a variety of fantastical creatures in the knowledge that the fate of mankind rests in her hands.;Film - Adventure;BBC THREE;False;2001;94;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p07j8bj8.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p07j8bj8.jpg;action tale adapted popular video game eponymous heroine race time find ancient relic fall wrong hand leaving behind life luxury highly trained adventurer travel exotic dangerous locale battle variety fantastical creature knowledge fate mankind rest hand;11
518;518;The Outlaw;None;Unconventional western about the life of legendary outlaw Billy the Kid.;https://ichef.bbci.co.uk/images/ic/{recipe}/p09m9kkm.jpg;BBC, iPlayer, TV, The Outlaw;Unconventional western about the life of legendary outlaw Billy the Kid.;Unconventional western about the life of outlaw Billy the Kid, including his partnership with Doc Holliday and clashes with lawman Pat Garrett. Stars Jane Russell and Jack Buetel.;Unconventional western about the life of outlaw Billy the Kid, including his partnership with Doc Holliday and clashes with lawman Pat Garrett. Stars Jane Russell and Jack Buetel.;Film - Western;BBC TWO;False;1943;111;films, drama-and-soaps;https://ichef.bbci.co.uk/images/ic/352x198/p09m9kkm.jpg;https://ichef.bbci.co.uk/images/ic/1200x675/p09m9kkm.jpg;unconventional western life outlaw billy kid including partnership doc holliday clash lawman pat garrett star jane russell jack buetel;3
